obj-id,name,type,lat,lon,importance
01ca0cc8-a6bc-48a6-bcdf-c7ae82c4060c,"Grodno, obwód grodzieński, Białoruś",city,53.6834599,23.8342648,0.66452669323231
917add25-424d-42eb-bf6f-eebfe1194eb1,"Grodno, obwód grodzieński, Białoruś",city,53.6834599,23.8342648,0.66452669323231
c7775191-67a3-4bb8-a4ee-a64c8b9694b4,"Карл Маркса, Аманкарагай, Аулиекольский район, Костанайская область, Kazachstan",residential,52.3942261,64.0766537,0.1
b795b2aa-3c2b-4feb-b61e-552997cd1003,"Warszawa, województwo mazowieckie, Polska",administrative,52.2337172,21.0714111288323,0.86290184643018
40b62af5-6870-431d-98fe-2c34705c2c2e,"Ludwinowo, gmina Raczki, powiat suwalski, województwo podlaskie, Polska",administrative,54.0133215,22.7288267,0.39330015574966
7eaf2662-3de4-4cc9-b629-624b1d6065f9,"Ludwinowo, gmina Raczki, powiat suwalski, województwo podlaskie, Polska",administrative,54.0133215,22.7288267,0.39330015574966
59200e9d-a887-45f0-959e-a9c17e4e31a9,"Warszawa, województwo mazowieckie, Polska",administrative,52.2337172,21.0714111288323,0.86290184643018
69da0d5b-27c5-403c-adda-83536b927927,"Ludwinowo, gmina Raczki, powiat suwalski, województwo podlaskie, Polska",administrative,54.0133215,22.7288267,0.29330015574966
17794d2b-7043-41a7-b536-ea92c28b56a1,"Ludwinowo, gmina Raczki, powiat suwalski, województwo podlaskie, Polska",administrative,54.0133215,22.7288267,0.39330015574966
c7792777-6553-46b0-8613-60a57ce574be,"Ludwinowo, gmina Raczki, powiat suwalski, województwo podlaskie, Polska",administrative,54.0133215,22.7288267,0.39330015574966
790211fb-f611-4ede-bb05-9486d1e0756f,"Sybir, gmina Radomyśl Wielki, powiat mielecki, województwo podkarpackie, 39-312, Polska",hamlet,50.1704678,21.2309832,0.375
b17a638c-7da5-4504-b503-8bde05206ebb,"Grodno, obwód grodzieński, Białoruś",city,53.6834599,23.8342648,0.66452669323231
34711166-8476-4201-b2d3-982778f94d50,"Petersburg, rejon centralny, Sankt Petersburg, Północno-Zachodni Okręg Federalny, 190000, Rosja",city,59.938732,30.316229,0.82771842591033
835884b5-a79e-4e51-9614-426c0611ade3,"Grodno, obwód grodzieński, Białoruś",city,53.6834599,23.8342648,0.66452669323231
fd318867-499a-41f7-be6d-9ab280354d58,"Interlaken, Verwaltungskreis Interlaken-Oberhasli, Verwaltungsregion Oberland, Berno, 3800, Szwajcaria",administrative,46.6855231,7.8585139,0.58554729854301
9dc27d2e-0557-4be5-a8f0-830e576833d3,"Jungfrau, Lauterbrunnen, Verwaltungskreis Interlaken-Oberhasli, Verwaltungsregion Oberland, Berno, 3801, Szwajcaria",peak,46.5367739,7.9625907,0.56328064002702
6dddcb32-c1f0-43fe-9e29-2487edb6af19,"Zurych, Bezirk Zürich, Zurych, Szwajcaria",city,47.3723941,8.5423328,0.8033923064304
9d6459d2-ecfb-4ef0-9529-794f07c7809e,"Muzeum Polskie w Rapperswilu, Hintergasse, Rapperswil-Jona, Wahlkreis See-Gaster, Sankt Gallen, 8640, Szwajcaria",museum,47.2272484,8.8156217,0.45699840250201
6d5ada6e-dfe6-4fcc-8755-7f5304abc6c2,"Rheinfall, Rheinfall Rundweg, Laufen-Uhwiesen, Bezirk Andelfingen, Zurych, 8248, Szwajcaria",attraction,47.6778348,8.6153284,0.46204844474975
3ffbf1f8-665a-4da4-b5cc-7a1bcc61fc3a,"Grodno, obwód grodzieński, Białoruś",city,53.6834599,23.8342648,0.66452669323231
8e26827d-9156-4970-a533-8e9a7c603033,Polska,administrative,52.0977181,19.0258159,0.99229898543353
5bcca075-3e1c-4128-9136-344b49b3f992,"Lwów, rejon halicki, Rada Miejska Lwowa, Obwód lwowski, Ukraina",city,49.841952,24.0315921,0.78998765957834
e3bd6ca0-b0c2-4b00-81d8-566ee961ecea,"Grodno, obwód grodzieński, Białoruś",city,53.6834599,23.8342648,0.66452669323231
e26c9579-bf8f-4439-9625-1823e8d8f410,"Grodno, obwód grodzieński, Białoruś",city,53.6834599,23.8342648,0.66452669323231
69f151e0-8452-49b3-91dc-c5bf431f8385,"Suwałki, województwo podlaskie, Polska",administrative,54.1027125,22.9318782174945,0.63630101634876
28a642a6-a613-46c6-a7d1-eacea1e7a159,"Suwałki, województwo podlaskie, Polska",administrative,54.1027125,22.9318782174945,0.63630101634876
e19de02f-ab5a-4fc8-b83b-df5fa66e94b7,"Warszawa, województwo mazowieckie, Polska",administrative,52.2337172,21.0714111288323,0.86290184643018
b259039c-49f2-40b2-a616-6ebae172f9fa,"Niemen, gmina Merec, rejon orański, Okręg olicki, 99350, Litwa",river,54.1571793,24.1804145,0.42356246868834
ea0226ac-39ba-4d71-b236-129ee1730973,"Kraków, województwo małopolskie, Polska",administrative,50.04691015,19.9970637622827,0.81714770710777
30b82365-e185-4f12-abe2-ef3b433a9e95,"Warszawa, województwo mazowieckie, Polska",administrative,52.2337172,21.0714111288323,0.86290184643018
75c4ac15-c1c4-49e9-a46f-a40559a15cc0,"Grodno, obwód grodzieński, Białoruś",city,53.6834599,23.8342648,0.66452669323231
1b32d1bd-1448-4e51-9a0c-44eac2e7b10d,Szwajcaria,administrative,46.7985624,8.2319736,0.95809962364501
f245b228-22a8-4ef7-91fc-ae8f71b628fd,"Kraków, województwo małopolskie, Polska",administrative,50.04691015,19.9970637622827,0.81714770710777
57b68aff-eecf-45f3-9508-d7bc2844418b,"Warszawa, województwo mazowieckie, Polska",administrative,52.2337172,21.0714111288323,0.86290184643018
26fe89dc-4951-4566-ab18-58b07cf03ed1,"województwo podlaskie, Polska",administrative,53.2668455,22.8525787,0.69134395347837
ccf79d34-22c3-483a-82fb-300e809920ed,"Łomża, województwo podlaskie, Polska",administrative,53.18243065,22.0521838178088,0.52394421459897
79ed971d-e1e9-4b65-bd9f-4da3035e08c5,"Kraków, województwo małopolskie, Polska",administrative,50.04691015,19.9970637622827,0.81714770710777
34e41293-65c6-4519-afb2-4d204ef0460f,"Warszawa, województwo mazowieckie, Polska",administrative,52.2337172,21.0714111288323,0.86290184643018
670db8e1-0073-4f3d-a47c-7e687d10b4b9,"Kraków, województwo małopolskie, Polska",administrative,50.04691015,19.9970637622827,0.81714770710777
c6813af0-33ba-485a-9795-40a03d4500ba,"Kraków, województwo małopolskie, Polska",administrative,50.04691015,19.9970637622827,0.81714770710777
653c357c-57f9-4586-8389-5e87c3c3805c,"Warszawa, województwo mazowieckie, Polska",administrative,52.2337172,21.0714111288323,0.86290184643018
