"article_title","article_id","filename","nchar"
"Abraham Ortelius","593540","Abraham_Ortelius__pageid-593540.txt",2406
"Agresja ZSRR na Polskę","75646","Agresja_ZSRR_na_Polskę__pageid-75646.txt",37532
"Akcja AB","128932","Akcja_AB__pageid-128932.txt",47508
"Aklamacja","91109","Aklamacja__pageid-91109.txt",361
"Anarchia","26","Anarchia__pageid-26.txt",588
"Andegawenowie","50618","Andegawenowie__pageid-50618.txt",3536
"Armia Czerwona","761601","Armia_Czerwona__pageid-761601.txt",23024
"Atak Niemiec na ZSRR","117275","Atak_Niemiec_na_ZSRR__pageid-117275.txt",64810
"August II Mocny","33093","August_II_Mocny__pageid-33093.txt",26124
"August III Sas","33096","August_III_Sas__pageid-33096.txt",15744
"Auschwitz Birkenau","4390","Auschwitz_Birkenau__pageid-4390.txt",47490
"Austria","60","Austria__pageid-60.txt",22466
"Austro Węgry","51318","Austro_Węgry__pageid-51318.txt",20342
"Bezkrólewie","39196","Bezkrólewie__pageid-39196.txt",1878
"Bezpartyjny Blok Współpracy z Rządem","29574","Bezpartyjny_Blok_Współpracy_z_Rządem__pageid-29574.txt",9427
"Bezpieczeństwo","477238","Bezpieczeństwo__pageid-477238.txt",3979
"Białoruś","44842","Białoruś__pageid-44842.txt",30346
"Biblioteka Narodowa Izraela","2494601","Biblioteka_Narodowa_Izraela__pageid-2494601.txt",2646
"Bitwa pod Legnicą","17875","Bitwa_pod_Legnicą__pageid-17875.txt",24216
"Bitwa pod Olkienikami","465036","Bitwa_pod_Olkienikami__pageid-465036.txt",4959
"Bitwa pod Połtawą","264250","Bitwa_pod_Połtawą__pageid-264250.txt",17312
"Blok Demokratyczny","1252170","Blok_Demokratyczny__pageid-1252170.txt",1868
"Bolesław I Chrobry","44843","Bolesław_I_Chrobry__pageid-44843.txt",25364
"Bolesław II Szczodry","1151665","Bolesław_II_Szczodry__pageid-1151665.txt",19238
"Bolesław III Krzywousty","512","Bolesław_III_Krzywousty__pageid-512.txt",107796
"Bolesław IV Kędzierzawy","650","Bolesław_IV_Kędzierzawy__pageid-650.txt",18875
"Bruno z Kwerfurtu","127948","Bruno_z_Kwerfurtu__pageid-127948.txt",13359
"Bug","1936959","Bug__pageid-1936959.txt",3782
"Bunt wójta Alberta","488288","Bunt_wójta_Alberta__pageid-488288.txt",7050
"Centralne Biuro Komunistów Polski","140392","Centralne_Biuro_Komunistów_Polski__pageid-140392.txt",4634
"Cesarstwo Austrii","428080","Cesarstwo_Austrii__pageid-428080.txt",5249
"Cesarstwo Niemieckie","80917","Cesarstwo_Niemieckie__pageid-80917.txt",4169
"Charles de Gaulle","59487","Charles_de_Gaulle__pageid-59487.txt",33065
"Chełm","10595","Chełm__pageid-10595.txt",68824
"Chłopi w Polsce","2924794","Chłopi_w_Polsce__pageid-2924794.txt",15794
"Chrześcijański Związek Jedności Narodowej","162159","Chrześcijański_Związek_Jedności_Narodowej__pageid-162159.txt",854
"Chrzest","865","Chrzest__pageid-865.txt",50366
"Czechy","204228","Czechy__pageid-204228.txt",59706
"Dagome iudex","13389","Dagome_iudex__pageid-13389.txt",8564
"Dania","1124","Dania__pageid-1124.txt",41222
"Demografia Polski","9592","Demografia_Polski__pageid-9592.txt",28512
"Demokracja","14695","Demokracja__pageid-14695.txt",43869
"Demokracja ludowa","15056","Demokracja_ludowa__pageid-15056.txt",6161
"Demokracja szlachecka","158509","Demokracja_szlachecka__pageid-158509.txt",2155
"Den Store Danske Encyklopædi","2595203","Den_Store_Danske_Encyklopædi__pageid-2595203.txt",640
"Dni wolne od pracy w Polsce","1326951","Dni_wolne_od_pracy_w_Polsce__pageid-1326951.txt",13144
"Doktryna polityczna","45689","Doktryna_polityczna__pageid-45689.txt",1413
"Drugi rząd Wincentego Witosa","385319","Drugi_rząd_Wincentego_Witosa__pageid-385319.txt",4790
