painting,paintingLabel,depicts,depictsLabel
http://www.wikidata.org/entity/Q8067460,Zawieszenie dzwonu Zygmunta,http://www.wikidata.org/entity/Q54058,Zygmunt II August
http://www.wikidata.org/entity/Q8067460,Zawieszenie dzwonu Zygmunta,http://www.wikidata.org/entity/Q218547,Dzwon Zygmunt
http://www.wikidata.org/entity/Q8067460,Zawieszenie dzwonu Zygmunta,http://www.wikidata.org/entity/Q229434,Bona Sforza
http://www.wikidata.org/entity/Q8067460,Zawieszenie dzwonu Zygmunta,http://www.wikidata.org/entity/Q788956,Valentin Bakfark
http://www.wikidata.org/entity/Q8067460,Zawieszenie dzwonu Zygmunta,http://www.wikidata.org/entity/Q972632,Stańczyk
http://www.wikidata.org/entity/Q8067460,Zawieszenie dzwonu Zygmunta,http://www.wikidata.org/entity/Q3635324,Bartolommeo Berrecci
http://www.wikidata.org/entity/Q8067460,Zawieszenie dzwonu Zygmunta,http://www.wikidata.org/entity/Q4498846,Jan Chojeński
http://www.wikidata.org/entity/Q8067460,Zawieszenie dzwonu Zygmunta,http://www.wikidata.org/entity/Q41838387,Hans Beham
http://www.wikidata.org/entity/Q8159820,Ołtarz Jerozolimski,http://www.wikidata.org/entity/Q345,Maria z Nazaretu
http://www.wikidata.org/entity/Q8159820,Ołtarz Jerozolimski,http://www.wikidata.org/entity/Q128267,Józef z Nazaretu
http://www.wikidata.org/entity/Q8159820,Ołtarz Jerozolimski,http://www.wikidata.org/entity/Q942467,Dzieciątko Jezus
http://www.wikidata.org/entity/Q9140599,Adam i Ewa (obraz Lucasa Cranacha Starszego w Muzeum Narodowym w Warszawie),http://www.wikidata.org/entity/Q58701,Adam i Ewa
http://www.wikidata.org/entity/Q9162673,Autoportret (obraz Jana Matejki),http://www.wikidata.org/entity/Q189117,Jan Matejko
http://www.wikidata.org/entity/Q9162689,Autoportret z paletą,http://www.wikidata.org/entity/Q448189,Jacek Malczewski
http://www.wikidata.org/entity/Q9172867,Bitwa pod Chocimiem,http://www.wikidata.org/entity/Q540840,Jan Karol Chodkiewicz
http://www.wikidata.org/entity/Q9172867,Bitwa pod Chocimiem,http://www.wikidata.org/entity/Q860981,Bitwa pod Chocimiem (1621)
http://www.wikidata.org/entity/Q9173390,Bitwa pod Orszą (obraz),http://www.wikidata.org/entity/Q712444,Konstanty Ostrogski
http://www.wikidata.org/entity/Q9173390,Bitwa pod Orszą (obraz),http://www.wikidata.org/entity/Q1207310,Bitwa pod Orszą
http://www.wikidata.org/entity/Q9173417,Bitwa pod Parkanami (obraz Juliusza Kossaka),http://www.wikidata.org/entity/Q694911,Bitwy pod Parkanami
http://www.wikidata.org/entity/Q9173417,Bitwa pod Parkanami (obraz Juliusza Kossaka),http://www.wikidata.org/entity/Q1132994,Wojna polsko-turecka 1683-1699
http://www.wikidata.org/entity/Q9173499,Bitwa pod Raszynem (obraz Juliusza Kossaka),http://www.wikidata.org/entity/Q516282,Bitwa pod Raszynem
http://www.wikidata.org/entity/Q9191610,Chrzest Litwy,http://www.wikidata.org/entity/Q53449,Jadwiga Andegaweńska
http://www.wikidata.org/entity/Q9191610,Chrzest Litwy,http://www.wikidata.org/entity/Q54049,Władysław II Jagiełło
http://www.wikidata.org/entity/Q9191610,Chrzest Litwy,http://www.wikidata.org/entity/Q218186,Witold Kiejstutowicz
http://www.wikidata.org/entity/Q9191610,Chrzest Litwy,http://www.wikidata.org/entity/Q392792,Świdrygiełło
http://www.wikidata.org/entity/Q9191610,Chrzest Litwy,http://www.wikidata.org/entity/Q992978,Skirgiełło
http://www.wikidata.org/entity/Q9191610,Chrzest Litwy,http://www.wikidata.org/entity/Q2464977,Korybut Dymitr
http://www.wikidata.org/entity/Q9191610,Chrzest Litwy,http://www.wikidata.org/entity/Q2494512,Włodzimierz Olgierdowic
http://www.wikidata.org/entity/Q22083378,Potyczka,http://www.wikidata.org/entity/Q726,koń
http://www.wikidata.org/entity/Q22083378,Potyczka,http://www.wikidata.org/entity/Q178561,bitwa
http://www.wikidata.org/entity/Q22083378,Potyczka,http://www.wikidata.org/entity/Q1598759,lekka piechota
http://www.wikidata.org/entity/Q22083381,Kompozycja alegoryczna ze sceną ofiarowania,http://www.wikidata.org/entity/Q467,kobieta
http://www.wikidata.org/entity/Q22083381,Kompozycja alegoryczna ze sceną ofiarowania,http://www.wikidata.org/entity/Q8441,mężczyzna
http://www.wikidata.org/entity/Q22083381,Kompozycja alegoryczna ze sceną ofiarowania,http://www.wikidata.org/entity/Q179226,jeździectwo
http://www.wikidata.org/entity/Q22083381,Kompozycja alegoryczna ze sceną ofiarowania,http://www.wikidata.org/entity/Q235113,anioł
http://www.wikidata.org/entity/Q22083381,Kompozycja alegoryczna ze sceną ofiarowania,http://www.wikidata.org/entity/Q5716684,tancerz
http://www.wikidata.org/entity/Q22083413,Georges jedzący zupę,http://www.wikidata.org/entity/Q467,kobieta
http://www.wikidata.org/entity/Q22083413,Georges jedzący zupę,http://www.wikidata.org/entity/Q8441,mężczyzna
http://www.wikidata.org/entity/Q22083413,Georges jedzący zupę,http://www.wikidata.org/entity/Q41415,zupa
http://www.wikidata.org/entity/Q22083413,Georges jedzący zupę,http://www.wikidata.org/entity/Q57216,talerz
http://www.wikidata.org/entity/Q22083441,Pokutujący św. Hieronim,http://www.wikidata.org/entity/Q571,książka
http://www.wikidata.org/entity/Q22083441,Pokutujący św. Hieronim,http://www.wikidata.org/entity/Q13147,czaszka
http://www.wikidata.org/entity/Q22083441,Pokutujący św. Hieronim,http://www.wikidata.org/entity/Q44248,Hieronim ze Strydonu
http://www.wikidata.org/entity/Q22083441,Pokutujący św. Hieronim,http://www.wikidata.org/entity/Q81025,pióro
http://www.wikidata.org/entity/Q22083511,Dzieciątko Jezus i św. Jan Chrzciciel w pejzażu,http://www.wikidata.org/entity/Q201171,Baranek Boży
http://www.wikidata.org/entity/Q22083511,Dzieciątko Jezus i św. Jan Chrzciciel w pejzażu,http://www.wikidata.org/entity/Q942467,Dzieciątko Jezus
http://www.wikidata.org/entity/Q22083511,Dzieciątko Jezus i św. Jan Chrzciciel w pejzażu,http://www.wikidata.org/entity/Q1698874,Jan Chrzciciel jako dziecko
