"object_id","url","desc","img_src","full_img_src","is_sent"
16,"https://zbiory.mnk.pl/pl/katalog/14253","Oiso, plansza 9. z serii: Piećdziesiąt trzy etapy drogi Tokaido / Tokaido gojusan zugi no uchi, Hiroshige, Utagawa (1797-1858)","https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/2f/b4/2fb43d7a96caed36b0b2d5916b46964a.jpg","https://cdn-zbiory.mnk.pl/upload/multimedia/2f/b4/2fb43d7a96caed36b0b2d5916b46964a.jpg",0
17,"https://zbiory.mnk.pl/pl/katalog/202880","Tygrys idący w deszczu, Kyosai, Kawanabe (1831-1889)","https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/c0/45/c04562fb9eadd5e257708d0ba075798d.jpg","https://cdn-zbiory.mnk.pl/upload/multimedia/c0/45/c04562fb9eadd5e257708d0ba075798d.jpg",0
18,"https://zbiory.mnk.pl/pl/katalog/501785","Domy drewniane w Wiśniczu w czasie deszczu, z: ""Kłosy"", R. 1868, nr 149, s. 251, Zabłocki, Feliks (1846-1874)","https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/bd/e8/bde8cf6a4894b7e42ea1c4b46fbf3c76.jpg","https://cdn-zbiory.mnk.pl/upload/multimedia/bd/e8/bde8cf6a4894b7e42ea1c4b46fbf3c76.jpg",0
19,"https://zbiory.mnk.pl/pl/katalog/477156","Po deszczu wg obrazu Carla Malchina (?), Heuer, Gustav (n.n.)","https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/55/61/5561c025a8da03c6f2cc96a86f1605db.jpg","https://cdn-zbiory.mnk.pl/upload/multimedia/55/61/5561c025a8da03c6f2cc96a86f1605db.jpg",0
20,"https://zbiory.mnk.pl/pl/katalog/90753","Kompozycja ukazująca popiersie mężczyzny ujęte w charakterystycznej dla Leszka Dutki konwencji. Głowa podłużna, rozczłonowana i używając słów autora ""rozwichrzona"". Budowana grubą kreską podkresloną fragmentarycznie czerwonymi i niebieskimi kolorami. Rysy twarzy określone schematycznie Postać trzyma przed sobą, na wysokości ust dłoń z charakterystycznie wygiętym palcem. Tło w kolorze brązowym wzbogacone, na wysokości głowy geometrycznymi strukturami w żółto-pomarańczowych barwach.","https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/3f/1f/3f1ff45cfe27656cd281b8f2aa166c59.jpg","https://cdn-zbiory.mnk.pl/upload/multimedia/3f/1f/3f1ff45cfe27656cd281b8f2aa166c59.jpg",0
21,"https://zbiory.mnk.pl/pl/katalog/129228","Bez tytułu, Mianowski, Lucjan (1933-2009)","https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/a6/70/a670b6beff22846afc035e06f5450760.jpg","https://cdn-zbiory.mnk.pl/upload/multimedia/a6/70/a670b6beff22846afc035e06f5450760.jpg",0
22,"https://zbiory.mnk.pl/pl/katalog/300489","Blacha 3 do litografii barwnej: ""Deszcz"", 1968. Na odwrocie cztery próby do niezidentyfikowanych grafik, Mianowski, Lucjan (1933-2009)","https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/73/7b/737b7c786c88b53a548712aec4c90548.jpg","https://cdn-zbiory.mnk.pl/upload/multimedia/73/7b/737b7c786c88b53a548712aec4c90548.jpg",0
23,"https://zbiory.mnk.pl/pl/katalog/310564","Dziewczyna przed kaplicą w deszczu, Harunobu, Suzuki (1724-1770)","https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/c0/d9/c0d9e1cf926b33045b4421ab2977e514.jpg","https://cdn-zbiory.mnk.pl/upload/multimedia/c0/d9/c0d9e1cf926b33045b4421ab2977e514.jpg",0
24,"https://zbiory.mnk.pl/pl/katalog/430731","Dwaj mężczyźni w deszczu. Eijiri, z serii: Pięćdziesiąt trzy przystanki na gościńcu Tokaido / Tokaido gojusan tsugi, Katsushika, Hokusai (1760-1849)","https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/b5/b6/b5b64ec88c386e43b0ae26b8d5edb968.jpg","https://cdn-zbiory.mnk.pl/upload/multimedia/b5/b6/b5b64ec88c386e43b0ae26b8d5edb968.jpg",0
25,"https://zbiory.mnk.pl/pl/katalog/510818","Podróż w deszczu wg Emile'a Bayarda. Wycinek z niemieckiego czasopisma, Laplante, Charles (1837-1903)","https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/f4/ad/f4adb5b08718c9af25864409d319bbbb.jpg","https://cdn-zbiory.mnk.pl/upload/multimedia/f4/ad/f4adb5b08718c9af25864409d319bbbb.jpg",0
26,"https://zbiory.mnk.pl/pl/katalog/363563","Tarui, deszcz, pochód daimiosa / Tarui, plansza 58. z serii: Sześćdziesiąt dziewięć etapów drogi Kisokaido / Kisokaido rokujukyu tsugi-no uchi, Hiroshige, Ichiryusai (1797-1858)","https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/12/bc/12bca453e946c4aa6c951e503fc95b70.jpg","https://cdn-zbiory.mnk.pl/upload/multimedia/12/bc/12bca453e946c4aa6c951e503fc95b70.jpg",0
27,"https://zbiory.mnk.pl/pl/katalog/38969","Z deszczu pod rynnę wg obrazu Tobiasa E. Rosenthala. Wycinek z niemieckiego czasopisma., Knesing, Theodor (1840-1927)","https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/50/b8/50b886437638db8292713cb0f95280d6.jpg","https://cdn-zbiory.mnk.pl/upload/multimedia/50/b8/50b886437638db8292713cb0f95280d6.jpg",0
28,"https://zbiory.mnk.pl/pl/katalog/372281","Płytka, Miles, Helen J. A. (1840- )","https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/9c/47/9c47416cf6964ba1c6c57c8388895243.jpg","https://cdn-zbiory.mnk.pl/upload/multimedia/9c/47/9c47416cf6964ba1c6c57c8388895243.jpg",0
