"corpus","user/mw0000/archiwa_spoleczne"
"subcorpus","###M475432996817978613###"
Item,Frequency,DOCF,Relative DOCF
"indywidualny",4,3,50.00000
"drugi",4,2,33.33333
"wynik",3,1,16.66667
"wspomnienie",3,2,33.33333
"pokazać",3,3,50.00000
"akcja",3,2,33.33333
"różnić",3,2,33.33333
"dokładnie",3,2,33.33333
"jeżeli",3,2,33.33333
"ponad",3,3,50.00000
"stefan",3,1,16.66667
"uwzględnić",3,1,16.66667
"miejscowy",3,1,16.66667
"opowiadać",3,3,50.00000
"opis",3,3,50.00000
"miłośniczka",3,3,50.00000
"ekspertka",3,1,16.66667
"wykorzystywać",3,2,33.33333
"zachodni",3,2,33.33333
"światowy",3,2,33.33333
"akademicki",3,1,16.66667
"budynek",3,1,16.66667
"janik",3,1,16.66667
"dozwolić",3,3,50.00000
"antropolożka",3,1,16.66667
"przepis",3,3,50.00000
"dyrektorka",3,1,16.66667
"konwiński",3,3,50.00000
"kulturoznawczyni",3,1,16.66667
"redakcyjny",3,3,50.00000
"specjalizować",3,3,50.00000
"specjalny",3,1,16.66667
"wielowymiarowy",3,3,50.00000
"walka",3,3,50.00000
"styk",3,2,33.33333
"miłośnik",3,1,16.66667
"powiedzieć",3,1,16.66667
"prawdziwy",3,2,33.33333
"postanowienie",3,3,50.00000
"pole",3,2,33.33333
"pozwolić",3,1,16.66667
"przetrwać",3,2,33.33333
"podchodzić",3,2,33.33333
"kulturalny",3,2,33.33333
"ręka",3,2,33.33333
"prasowy",3,3,50.00000
"nieformalny",3,2,33.33333
"wargowska-dudek",3,1,16.66667
"wyraźnie",3,3,50.00000
"znać",3,2,33.33333
"jagielloński",3,1,16.66667
"poddać",3,3,50.00000
"pozostać",3,1,16.66667
"trend",3,1,16.66667
"weekend",3,2,33.33333
"wskazówka",3,3,50.00000
"znajdywać",3,3,50.00000
"warunek",3,3,50.00000
"wspierać",3,2,33.33333
"wykorzystać",3,3,50.00000
"świadek",3,2,33.33333
"ii",3,2,33.33333
"terytorialny",3,3,50.00000
"powołać",3,3,50.00000
"kontakt",3,3,50.00000
"dziennikarz",3,3,50.00000
"rozbarku",3,3,50.00000
"różnorodny",3,3,50.00000
"uważać",3,2,33.33333
"andrzej",3,2,33.33333
"pierwotny",3,3,50.00000
"kardynał",3,1,16.66667
"głogoczów",3,1,16.66667
"nosić",3,2,33.33333
"wszelki",3,3,50.00000
"news",3,3,50.00000
"dobry",3,3,50.00000
"obszar",3,2,33.33333
"integrować",3,3,50.00000
"brać",3,2,33.33333
"podmiot",3,3,50.00000
"inspiracja",3,2,33.33333
"pojawić",3,2,33.33333
"polityka",3,3,50.00000
"pewność",3,2,33.33333
"przeszłość",3,3,50.00000
"aktywność",3,2,33.33333
"przełom",3,3,50.00000
"rozpocząć",3,1,16.66667
"programowy",3,1,16.66667
"ruch",3,1,16.66667
"stacjonarny",3,2,33.33333
"bazować",3,2,33.33333
"głos",3,1,16.66667
"społecznik",3,1,16.66667
"wyjątek",3,3,50.00000
"zezwalać",3,3,50.00000
"wskazać",3,3,50.00000
"uznać",3,2,33.33333
"tegoroczny",3,3,50.00000
"dokładny",3,3,50.00000
"stalmach",3,2,33.33333
"zaznaczyć",3,3,50.00000
"folklorystyczny",3,1,16.66667
"sąsiad",3,1,16.66667
"młodzież",3,2,33.33333
"łączyć",3,2,33.33333
"wadowice",3,1,16.66667
"wiśniowska",3,1,16.66667
"myślenicka",3,1,16.66667
"zagadnienie",3,2,33.33333
"ziętal",3,2,33.33333
"oparcie",3,3,50.00000
"wywiad",3,2,33.33333
"użytkownik",3,1,16.66667
"znaczenie",3,2,33.33333
"pochodzić",3,2,33.33333
"ponieważ",3,1,16.66667
"dowolny",3,3,50.00000
"pozostawać",3,2,33.33333
"duda",3,1,16.66667
"koncepcja",3,1,16.66667
"koło",3,3,50.00000
"konieczny",3,3,50.00000
"rywka",3,1,16.66667
"senioralny",3,3,50.00000
"setka",3,2,33.33333
"chwalić",3,1,16.66667
"lublin",3,1,16.66667
"myślenie",3,1,16.66667
"technologia",3,2,33.33333
"archiwalny",3,2,33.33333
"opracowanie",3,3,50.00000
"handel",3,1,16.66667
"kgw",3,1,16.66667
"dialog",3,1,16.66667
"mieszkać",3,2,33.33333
"obserwować",3,1,16.66667
"iść",3,1,16.66667
"dotacja",3,1,16.66667
"dowiedzieć",3,2,33.33333
"udziedzicznić",3,1,16.66667
"uratować",3,1,16.66667
"nagrywać",3,2,33.33333
"godka",3,1,16.66667
"akademia",3,2,33.33333
"osa",3,2,33.33333
"by-sa",3,3,50.00000
"kopiować",3,3,50.00000
"kulturoznawca",3,3,50.00000
"rękodzielnictwo",3,1,16.66667
"szczególny",3,1,16.66667
"muzyka",3,2,33.33333
"gospodyni",3,2,33.33333
"włączyć",3,3,50.00000
"odbywać",3,3,50.00000
"interesować",3,3,50.00000
"podjąć",3,3,50.00000
"zrodzić",3,1,16.66667
"profesja",3,3,50.00000
"prawnie",3,3,50.00000
"bytom",3,3,50.00000
"hasło",3,3,50.00000
"wyszyński",3,1,16.66667
"zadanie",3,1,16.66667
"zinwentaryzować",3,2,33.33333
"większość",3,3,50.00000
"naprawdę",3,3,50.00000
"stworzyć",3,3,50.00000
"zaprosić",3,2,33.33333
"zawód",3,2,33.33333
"korespondować",3,1,16.66667
"wrzesień",3,2,33.33333
"okolica",3,2,33.33333
"konserwator",3,1,16.66667
"zaś",3,1,16.66667
"typ",3,2,33.33333
"konsultacja",3,3,50.00000
"zapis",3,2,33.33333
"stan",3,1,16.66667
"tam",3,2,33.33333
"charakterystyczny",3,2,33.33333
"oferować",3,2,33.33333
"archiwistyczny",3,3,50.00000
"następnie",3,2,33.33333
"zastrzec",3,3,50.00000
"stosować",3,3,50.00000
"podręcznik",3,1,16.66667
"kluczowy",3,2,33.33333
"krajowy",3,2,33.33333
"zapytać",3,1,16.66667
"przedrukowywać",3,3,50.00000
"ilustracja",3,3,50.00000
"zastępca",3,3,50.00000
"cc",3,3,50.00000
"realizacja",3,1,16.66667
"przyjąć",3,1,16.66667
"scena",3,1,16.66667
"wykorzystanie",3,3,50.00000
"filar",3,1,16.66667
"wymienić",3,2,33.33333
"badawczy",3,2,33.33333
"gra",2,1,16.66667
"uczestniczyć",2,1,16.66667
"wirtualny",2,2,33.33333
"trwały",2,1,16.66667
"imię",2,2,33.33333
"owoc",2,2,33.33333
"iov",2,1,16.66667
"pokazywać",2,2,33.33333
"pojawiać",2,1,16.66667
"jazz",2,2,33.33333
"poszłabym",2,1,16.66667
"platforma",2,1,16.66667
"przeszukiwać",2,2,33.33333
"konwencja",2,1,16.66667
"dziennik",2,2,33.33333
"krajeński",2,1,16.66667
"aż",2,1,16.66667
"lewy",2,1,16.66667
"pracowałam",2,1,16.66667
"sfera",2,1,16.66667
"bartoszyce",2,1,16.66667
"etnoekspertka",2,1,16.66667
"wpisać",2,2,33.33333
"towarzyszyć",2,2,33.33333
"góra",2,1,16.66667
"bohater",2,2,33.33333
"obieg",2,1,16.66667
"twórca",2,2,33.33333
"digitalizacja",2,1,16.66667
"ocalić",2,2,33.33333
"ocalać",2,2,33.33333
"armia",2,1,16.66667
"nieznany",2,2,33.33333
"popularny",2,2,33.33333
"sieciowania",2,2,33.33333
"etc.",2,1,16.66667
"węgierski",2,1,16.66667
"nośnik",2,1,16.66667
"sztuka",2,2,33.33333
"odbyć",2,2,33.33333
"warsztaty",2,2,33.33333
"zmienić",2,1,16.66667
"według",2,1,16.66667
"zabezpieczać",2,2,33.33333
"temu",2,2,33.33333
"sięgać",2,1,16.66667
"animacja",2,2,33.33333
"osobisty",2,2,33.33333
"pora",2,1,16.66667
"bieżąco",2,2,33.33333
"obok",2,2,33.33333
"pracowniczek",2,2,33.33333
"pomóc",2,1,16.66667
"trzy",2,2,33.33333
"aktualnie",2,1,16.66667
"dziedzic",2,1,16.66667
"kronika",2,1,16.66667
"paradoksalnie",2,1,16.66667
"dołączać",2,1,16.66667
"dzielnica",2,2,33.33333
"krakowiak",2,2,33.33333
