"corpus","user/mw0000/archiwa_spoleczne"
"subcorpus","-"
Item,Frequency,Relative frequency,DOCF,Relative DOCF
"archiwa",72,139.14953,17,9.18919
"wyrażać",72,139.14953,52,28.10811
"wpisać",70,135.28426,20,10.81081
"pomagać",70,135.28426,30,16.21622
"przetwarzać",70,135.28426,32,17.29730
"powiedzieć",70,135.28426,25,13.51351
"znajdować",70,135.28426,14,7.56757
"interesować",69,133.35163,22,11.89189
"sporządzić",69,133.35163,6,3.24324
"dziać",69,133.35163,22,11.89189
"red.",69,133.35163,10,5.40541
"zmienić",68,131.41900,34,18.37838
"pozostawać",68,131.41900,24,12.97297
"uważać",68,131.41900,18,9.72973
"zawrzeć",67,129.48636,17,9.18919
"pokazywać",67,129.48636,24,12.97297
"pełnić",67,129.48636,19,10.27027
"patrzeć",67,129.48636,9,4.86486
"zarządzać",67,129.48636,17,9.18919
"nadać",67,129.48636,8,4.32432
"dodać",66,127.55373,28,15.13514
"definiować",66,127.55373,12,6.48649
"zapewnić",65,125.62110,15,8.10811
"promować",65,125.62110,20,10.81081
"odnosić",65,125.62110,14,7.56757
"łączyć",65,125.62110,20,10.81081
"wpływać",65,125.62110,20,10.81081
"odbywać",65,125.62110,19,10.27027
"uznać",65,125.62110,12,6.48649
"wskazać",64,123.68847,16,8.64865
"określać",63,121.75584,12,6.48649
"nazywać",63,121.75584,16,8.64865
"opowiedzieć",63,121.75584,36,19.45946
"zdigitalizować",63,121.75584,21,11.35135
"włączyć",63,121.75584,25,13.51351
"przyjmować",62,119.82320,12,6.48649
"pozwolić",62,119.82320,23,12.43243
"pokazać",62,119.82320,30,16.21622
"zaczynać",62,119.82320,27,14.59459
"starać",62,119.82320,24,12.97297
"uzupełniać",61,117.89057,11,5.94595
"przygotowywać",61,117.89057,20,10.81081
"bywać",60,115.95794,21,11.35135
"brakować",60,115.95794,10,5.40541
"chronić",60,115.95794,23,12.43243
"towarzyszyć",59,114.02531,22,11.89189
"dołączyć",59,114.02531,31,16.75676
"wyglądać",58,112.09267,21,11.35135
"użyć",58,112.09267,19,10.27027
"przeprowadzać",58,112.09267,18,9.72973
"kierować",58,112.09267,20,10.81081
"uzupełnić",58,112.09267,8,4.32432
"zwracać",57,110.16004,16,8.64865
"otrzymywać",57,110.16004,24,12.97297
"wiązać",56,108.22741,13,7.02703
"wskazywać",56,108.22741,11,5.94595
