object_id,object_uri,title,description,image_uri
65554f41c3dd6495943551,https://muzeumcyfrowe.mnwr.pl/obiekt/pejzaz-morski-z-sycylii,Pejzaż morski z Sycylii,"Wygrzywalski, Feliks Michał, 1907",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/65554f41c3dd6495943551.jpg
653b7d915bce8374025155,https://muzeumcyfrowe.mnwr.pl/obiekt/w-buduarze,W buduarze,"Dobrowolski, Odo, 1908",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/653b7d915bce8374025155.jpg
65554f4815313235525164,https://muzeumcyfrowe.mnwr.pl/obiekt/zjawisko,Zjawisko,"Wojtkiewicz, Witold, 1908",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/65554f4815313235525164.jpg
65554f3c7ff7b987329294,https://muzeumcyfrowe.mnwr.pl/obiekt/wezwanie,Wezwanie,"Wojtkiewicz, Witold, 1908",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/65554f3c7ff7b987329294.jpg
65554f42e259f842828123,https://muzeumcyfrowe.mnwr.pl/obiekt/przed-piastowa-chalupa,Przed Piastową chałupą,"Tetmajer, Włodzimierz, 1908",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/65554f42e259f842828123.jpg
653b7d79979ae268186641,https://muzeumcyfrowe.mnwr.pl/obiekt/portret-marii-balowej,Portret Marii Balowej,"Malczewski, Jacek, 1908",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/653b7d79979ae268186641.jpg
654e41cc7c617312052928,https://muzeumcyfrowe.mnwr.pl/obiekt/portret-leopolda-staffa,Portret Leopolda Staffa,"Pautsch, Fryderyk, 1908",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/654e41cc7c617312052928.jpg
654e41d6a3584922227752,https://muzeumcyfrowe.mnwr.pl/obiekt/portret-marii-pilatowej,Portret Marii Pilatowej,"Axentowicz, Teodor, 1909",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/654e41d6a3584922227752.jpg
654e40ade2864471320302,https://muzeumcyfrowe.mnwr.pl/obiekt/bogurodzica,Bogurodzica,"Brandt, Józef, 1909",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/654e40ade2864471320302.jpg
653b7d8d32d68570667131,https://muzeumcyfrowe.mnwr.pl/obiekt/portret-renaty-radziwillowej,Portret Renaty Radziwiłłowej,"Axentowicz, Teodor, 1910",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/653b7d8d32d68570667131.jpg
653b77c883abe734613148,https://muzeumcyfrowe.mnwr.pl/obiekt/dziewczynka-przy-lekcji,Dziewczynka przy lekcji,"Dębicki, Stanisław, 1910-1912",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/653b77c883abe734613148.jpg
65554f42677f8774521617,https://muzeumcyfrowe.mnwr.pl/obiekt/lago-di-ninfa,Lago di Ninfa,"Wygrzywalski, Feliks Michał, 1911",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/65554f42677f8774521617.jpg
654e41ce4d64a121226101,https://muzeumcyfrowe.mnwr.pl/obiekt/sploszone-konie,Spłoszone konie,"Sichulski, Kazimierz, 1911",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/654e41ce4d64a121226101.jpg
653b7d58b5d51048079427,https://muzeumcyfrowe.mnwr.pl/obiekt/chocholy,Chochoły,"Bratkowski, Roman, 1911",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/653b7d58b5d51048079427.jpg
653b7d9227dfc598205594,https://muzeumcyfrowe.mnwr.pl/obiekt/paryz-wieczorem,Paryż wieczorem,"Dobrowolski, Odo, 1911",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/653b7d9227dfc598205594.jpg
654e41bf3cfbc947502329,https://muzeumcyfrowe.mnwr.pl/obiekt/portret-zony-z-pieskiem,Portret żony z pieskiem,"Krzyżanowski, Konrad, 1911",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/654e41bf3cfbc947502329.jpg
653b7d6c01d20974229575,https://muzeumcyfrowe.mnwr.pl/obiekt/portret-lili-lissowskiej,Portret Lili Lissowskiej,"Krzyżanowski, Konrad, 1913",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/653b7d6c01d20974229575.jpg
653b7d7aa5827678511322,https://muzeumcyfrowe.mnwr.pl/obiekt/portret-michala-sozanskiego,Portret Michała Sozańskiego,"Malczewski, Jacek, 1913",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/653b7d7aa5827678511322.jpg
653b7d789df5a621767835,https://muzeumcyfrowe.mnwr.pl/obiekt/portret-chlopcow-z-psem,Portret chłopców z psem,"Mordasewicz, Kazimierz, 1913",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/653b7d789df5a621767835.jpg
654e41b48635a419189959,https://muzeumcyfrowe.mnwr.pl/obiekt/portret-wlasny-z-fajka,Portret własny z fajką,"Błocki, Włodzimierz, 1915",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/654e41b48635a419189959.jpg
653b7d5977d33084141375,https://muzeumcyfrowe.mnwr.pl/obiekt/chata-w-sniegu,Chata w śniegu,"Bratkowski, Roman, 1915",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/653b7d5977d33084141375.jpg
653b7d69e7ba0114327106,https://muzeumcyfrowe.mnwr.pl/obiekt/portret-zony,Portret żony,"Hofman, Vlastimil, 1916",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/653b7d69e7ba0114327106.jpg
65fcbd7d1ff11116454214,https://muzeumcyfrowe.mnwr.pl/obiekt/pilsudski-ze-stanczykiem-i-wernyhora,Piłsudski ze Stańczykiem i Wernyhorą,"Sichulski, Kazimierz, 1917",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/65fcbd7d1ff11116454214.jpg
653b7d92ddef7173123807,https://muzeumcyfrowe.mnwr.pl/obiekt/pejzaz-z-osieka,Pejzaż z Osieka,"Fałat, Julian, 1917",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/653b7d92ddef7173123807.jpg
653b7d5fb72ce373312177,https://muzeumcyfrowe.mnwr.pl/obiekt/kwiaty,Kwiaty,"Boznańska, Olga, 1918",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/653b7d5fb72ce373312177.jpg
653b7d6ad9f87514452325,https://muzeumcyfrowe.mnwr.pl/obiekt/adzia-i-jej-swiat,Adzia i jej świat,"Hofman, Vlastimil, 1918",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/653b7d6ad9f87514452325.jpg
655d3809385c9315405281,https://muzeumcyfrowe.mnwr.pl/obiekt/autoportret-12,Autoportret,"Mikolasch, Henryk, ok. 1925",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/655d3809385c9315405281.jpg
653b7d835598a827597843,https://muzeumcyfrowe.mnwr.pl/obiekt/mysliwy,Myśliwy,"Sichulski, Kazimierz, 1920",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/653b7d835598a827597843.jpg
65fb6c2b2725e257871226,https://muzeumcyfrowe.mnwr.pl/obiekt/martwa-natura-z-rybami,Martwa natura z rybami,"Muter, Mela, 1920-1929",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/65fb6c2b2725e257871226.jpg
654d6610c4cba688166496,https://muzeumcyfrowe.mnwr.pl/obiekt/merzzeichnung-225,Merzzeichnung 225,"Schwitters, Kurt, 1921",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/654d6610c4cba688166496.jpg
6553fda6ee7d4677127915,https://muzeumcyfrowe.mnwr.pl/obiekt/portret-zony-1,Portret żony,"Chwistek, Leon, ok. 1927",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/6553fda6ee7d4677127915.jpg
65554f44ed9d5263160827,https://muzeumcyfrowe.mnwr.pl/obiekt/modelka-w-pracowni,Modelka w pracowni,"Weiss, Wojciech, 1923",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/65554f44ed9d5263160827.jpg
6553fda8a0deb234326430,https://muzeumcyfrowe.mnwr.pl/obiekt/abstrakcja-w-przestrzeni,Abstrakcja w przestrzeni,"Włodarski, Marek, 1930",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/6553fda8a0deb234326430.jpg
6553fda7b74e3113570055,https://muzeumcyfrowe.mnwr.pl/obiekt/palacze-fajek,Palacze fajek,"Makowski, Tadeusz, 1931",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/6553fda7b74e3113570055.jpg
65e8f8017e0c3520837219,https://muzeumcyfrowe.mnwr.pl/obiekt/kompozycja-w-gamie-niebieskiej-rekonstrukcja-autorska-zaginionej-kompozycji,Kompozycja w gamie niebieskiej (Rekonstrukcja autorska zaginionej kompozycji),"Stażewski, Henryk, ok. 1938-1956",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/65e8f8017e0c3520837219.jpg
653b7d8295ece819648179,https://muzeumcyfrowe.mnwr.pl/obiekt/kwiaty-1,Kwiaty,"Sichulski, Kazimierz, 1935",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/653b7d8295ece819648179.jpg
65e8f7f72934e201276582,https://muzeumcyfrowe.mnwr.pl/obiekt/widelki,Widełki,"Brzozowski, Tadeusz, 1948",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/65e8f7f72934e201276582.jpg
6553fda9ce949958678001,https://muzeumcyfrowe.mnwr.pl/obiekt/figury-przy-stole,Figury przy stole,"Jarema, Maria, 1948",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/6553fda9ce949958678001.jpg
654e4009d8bb3003720785,https://muzeumcyfrowe.mnwr.pl/obiekt/podaj-cegle,Podaj cegłę,"Kobzdej, Aleksander, 1950",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/654e4009d8bb3003720785.jpg
65e8f7f5ed342631829562,https://muzeumcyfrowe.mnwr.pl/obiekt/organki,Organki,"Brzozowski, Tadeusz, 1950",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/65e8f7f5ed342631829562.jpg
65e8f7f250c70732078382,https://muzeumcyfrowe.mnwr.pl/obiekt/pozoga,Pożoga,"Cwenarski, Waldemar, 1951",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/65e8f7f250c70732078382.jpg
6553fd990d6e7302232925,https://muzeumcyfrowe.mnwr.pl/obiekt/ukrzyzowanie-odwrocie-kompozycja-figuralna,Ukrzyżowanie (odwrocie: kompozycja figuralna),"Cwenarski, Waldemar, 1952",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/6553fd990d6e7302232925.jpg
6553fdaa7a409606899204,https://muzeumcyfrowe.mnwr.pl/obiekt/wyrazy,Wyrazy,"Jarema, Maria, 1954",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/6553fdaa7a409606899204.jpg
6553fda5f072c879193867,https://muzeumcyfrowe.mnwr.pl/obiekt/siena,Siena,"Potworowski, Piotr, 1955",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/6553fda5f072c879193867.jpg
6553fdab1e513680115787,https://muzeumcyfrowe.mnwr.pl/obiekt/kompozycja-1,Kompozycja,"Jarema, Maria, 1955",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/6553fdab1e513680115787.jpg
6553fd9f80554072462290,https://muzeumcyfrowe.mnwr.pl/obiekt/oficer,Oficer,"Brzozowski, Tadeusz, 1957",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/6553fd9f80554072462290.jpg
654e4005b8639568920930,https://muzeumcyfrowe.mnwr.pl/obiekt/relief-metalowy-gaudi,Relief metalowy – Gaudi,"Beksiński, Zdzisław, 1959-1960",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/654e4005b8639568920930.jpg
6553fda26ebf2111831305,https://muzeumcyfrowe.mnwr.pl/obiekt/formy-inspirujace,Formy inspirujące,"Lenica, Alfred, 1959",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/6553fda26ebf2111831305.jpg
65eb99f7d6df1206645549,https://muzeumcyfrowe.mnwr.pl/obiekt/konkrety-zniszczone,Konkrety zniszczone,"Marczyński, Adam, 1959",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/65eb99f7d6df1206645549.jpg
