"article_title","article_id","filename","nchar"
"Muzeum Biograficzne Stanisława Klimowskiego","4210744","Muzeum_Biograficzne_Stanisława_Klimowskiego__pageid-4210744.txt",1993
"Muzeum Budownictwa Ludowego w Sanoku","497948","Muzeum_Budownictwa_Ludowego_w_Sanoku__pageid-497948.txt",18646
"Muzeum Ceramiki Kaszubskiej Neclów","981665","Muzeum_Ceramiki_Kaszubskiej_Neclów__pageid-981665.txt",2989
"Muzeum Chleba w Radzionkowie","753879","Muzeum_Chleba_w_Radzionkowie__pageid-753879.txt",2545
"Muzeum chmielarskie Žatec","4721485","Muzeum_chmielarskie_Žatec__pageid-4721485.txt",4327
"Muzeum Dom Rodziny Pileckich","5366971","Muzeum_Dom_Rodziny_Pileckich__pageid-5366971.txt",1147
"Muzeum Dzwonków w Jastrzębiu Zdroju","1282815","Muzeum_Dzwonków_w_Jastrzębiu_Zdroju__pageid-1282815.txt",850
"Muzeum Elementarza im  prof  Mariana Falskiego w Kuźnicy Grabowskiej","5516425","Muzeum_Elementarza_im__prof__Mariana_Falskiego_w_Kuźnicy_Grabowskiej__pageid-5516425.txt",5281
"Muzeum Esperanto w Svitavach","1970857","Muzeum_Esperanto_w_Svitavach__pageid-1970857.txt",1280
"Muzeum Etnograficzne im  Marii Znamierowskiej Prüfferowej w Toruniu","310924","Muzeum_Etnograficzne_im__Marii_Znamierowskiej_Prüfferowej_w_Toruniu__pageid-310924.txt",7816
"Muzeum Etnograficzne im  Seweryna Udzieli w Krakowie","500204","Muzeum_Etnograficzne_im__Seweryna_Udzieli_w_Krakowie__pageid-500204.txt",2464
"Muzeum Frédérica Mistrala w Maillane","3214340","Muzeum_Frédérica_Mistrala_w_Maillane__pageid-3214340.txt",1263
"Muzeum Garnizonu Ostrowskiego","602643","Muzeum_Garnizonu_Ostrowskiego__pageid-602643.txt",331
"Muzeum Gdańskiego Sportu i Turystyki","1434845","Muzeum_Gdańskiego_Sportu_i_Turystyki__pageid-1434845.txt",1667
"Muzeum Geologiczne w Klimontowie","3542023","Muzeum_Geologiczne_w_Klimontowie__pageid-3542023.txt",483
